Exe name_x,01d0ff81e70b822e0786c4b92802645f6f175dbc49328027fe937aefb469b2d5,057ddb7ea437ffca4b2b2325c959326d5adc07db406ef3282d98480b545252b5,0c72ae88044c9a416f3fbf44ce20f0f4b20a41dc8ed1856f6c799868976d6ade,0d73e929e92a61b24ab567fa332e4b389dbd035b5c2749fc2e3d996815a64010,0f2a9d8f67297925c275afbe4b3b95b0aa36f5d9566fbf65ea59c28a50a9c1c4,166f0d3b66e49b5efde37ee471fd45c66526efe4bdfa4acd9e6cc5f7373e563a,20505a5337ee1e7e43ca49938c396eec6001a0aa947a12bbbe9850936e8f89a7,20c5b027df5be17ac6c3eb5407bb78cd005270e262d074ba151198eabe6c116f,2377f987601c180ad09deb9dc53dbf0a04e4d89620649cb0f857952d46dc40a1,27d5cab74736fcfe43177aaedfe99ac1812132724271d4883bb37ead66d9d3d2,288862dfddc13c06bc816c3e5b4d50c232d56c2706939fb8a4030ee14c8eaaab,2b37c19076419cfc46d4f6cde8ce9d66412615b2a597728e1f901ae8efa69cef,2e43b757bfae0b705183ce9ddf2d634b5bbaade92f52d2760d56c6ca7d5fb511,32a6e07deb1cb172b4f2282c4623038d51446fd9c7b5e321687d7563a786fd6e,374c58fd43892c47a0f97f82a96288027adca973e310c387afe217b120777415,3869327e39952c8dbd36d85631b5754b1211b5f6c04105dde026f2cd457354b3,419112a10dd3ec5f1cca851d34182278836eb4b6f1acaefe2c0c0ba905f9953c,45d0c3ce00254591a540c91a171d58e45b810d8e15929a8aab2a9883528745fe,4bd6ae5b235eccb3e4c027b2d963769e9cbd7620e0e2842aaa2a677b0e55cfb8,4c81e110f8fb4a66cdad417a95df9b47ea162a3b201e56e01f220ec9d48b9e86,540950459f32349960d0e77fe7d6216cc04c60836dfd407d410312210cb6b54a,5695eecc2f863637c1fb7b837467dc62bcf675e99572481520be6f452277aec5,5b1379759e79bf51e28f85d906ddb8f0675c61f30c9aadff62d6e439749e9b14,61b0d72648bbbc0796ba7c65779a0091e6e64d6f75ca132be980e7c26d0253f5,632f127b472c40147fc8bbe3cd472bdb96ee5369f3b97a91480af187bbc67688,696ca3d36c0aadc37c2cd9f3c25726e2efb0cbd0979d88525389b03115b8c158,6e63d5b80e257da949da862af9b26856dca484261bda8204d5516ce33dad4bf5,703a28d1cebb63322ef8eb5149eb048b4ecb8ad8c34c77c64fcd6d5e94b63ff9,725c34a3f3c4d64c76058fcc6f5f479f01f54fa38951b584a92546c4e42a7ca9,76f9075888abb15accc20f15fe0e2bef292f362fa79f82355a5eb9b53e76f26e,7ca57a07211f795ebf70fdd8cafd7b468f4e9dd5c6a28707887ca921ebbc04c4,7cceefe7a5098a7c69527fd46ff3e0fe00ae922a73a8efb5716945f9080768d6,7e3c96784838876db808987c5777a57ce67948b0629792c6c8ce9442cd2af650,7f0fb3e6faacd89fae2a13bf11a019edae5ef581472e8458204f6213af272dee,81243551bfa8bdbe868963a5a9c5c289cfc212d9c4c2ff108554587f8a5a064e,845d72b591aad18683c52d231fe22f30cd035178d153fa6e3ea65f87fbcd5db0,87aba08b3ebd3f66066aa93e4f9d8374958a5e3f048fa663a8f1c45f5fee8d05,8965b5b855e9ba2e503ce235f98dbda2d99ed56c883e49afe2def2c171066b21,904247ac01194ad38501e7bf4c99a691e9f096ba8d1451517b93c956f006d9f1,955e32bb0f3cfb7812de7cdc7334384efeb23997afa04a46e40f215d69ec601c,96c9cecc94c182eba5c9824eb7a603b43b425c6dd99fe8d5195445339f10a0ae,981f4be9505f140d2353dfd5dead9d5ab898e967cda4ca576e2fa29ef5274523,994b230bc732fbe68c4bf4778e62abd18cf4d6feb6eb345be4765408282033e8,99e8cb24e92b871bda5b452bdec539a6196989db2eff5764df8452a9dcbd03bb,a261d7a919495ac349c125dadf89cc557352a7d2feedf3898fa5e320c4c75efa,a510750cd5d533842b656edc6df3b810be3c185534e7ab6b7ce5738a082de334,a608815ace8f4116f930af1c368c7eeff4201263e2402e841c210262083f324c,a93854e69170b7322192e1ca994f57946260bfa4152d690bbc346fe332b4c186,ae775e20b9d5fecf9367fed89ab1136c91ad22a457d4d37891edf77b15a7f71f,b00ce6a6107f0ace12878c3636fd42494bc387ba494f87c094c3597eb1dd4943,b9fbc8deb897ea739ae10986e0c16714d5468e7b960ca4a1c93fadd39fb54486,ba99ac9b25cf0b78872b502cc1ae43df86cce96ff2a22c378ff17d7c03497b99,c10eeb0df592f972d478bd4f5de86a092df17060837e516503fa964d837287c0,ca39c1090b7f62909eb6cf091107895bc2d5dffbf7f5d275053443a072565f9c,cd013a0235aef2832f972664a47cb6f5b4d364c33d807a3135e20c71202147f0,cffd481d6216ac766187015a0bbb4a9014e2ef6cbd5432599ebdb1542eb563e6,d63afd49bf502fc5aa2f294f3e52669f200253b627310036ce35110f5b78b6ac,e7b939f82e06570a4ad25f9059be2e7ca54aef4405255e34e9d3e86a04aae46e,e92b6ab1fbb5ae6d79f87bcfa6ae6cbe4fdeef2f2dd985dd618a107cbcc2a4a9,ed44f86570a4039adccae1b56c314c028de9c5e38b0ae7b7e9217c8789491419,f3a48d153a7d29f86997e583dd58446486c2809a9a342ac10e7c51bed2f5dea5,f423e5b793e76610a13dbd1df990bd58407b97c156e0ab941dcefd115a005c66,f8e76dd00167619369c3854689e3f1e3805b9b1d8ef373298646c9efbd8eff60,f902bcef64c6162c6981462f9d4513db27bdcf46ef15709eeb8fcf7712a8ae13,ff8be45f49e3e6b9aa8099f4fd96c2b9555af73a6fa197951aacc66acaac9aac
01d0ff81e70b822e0786c4b92802645f6f175dbc49328027fe937aefb469b2d5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057ddb7ea437ffca4b2b2325c959326d5adc07db406ef3282d98480b545252b5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0c72ae88044c9a416f3fbf44ce20f0f4b20a41dc8ed1856f6c799868976d6ade,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0d73e929e92a61b24ab567fa332e4b389dbd035b5c2749fc2e3d996815a64010,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0
0f2a9d8f67297925c275afbe4b3b95b0aa36f5d9566fbf65ea59c28a50a9c1c4,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166f0d3b66e49b5efde37ee471fd45c66526efe4bdfa4acd9e6cc5f7373e563a,0,0,0,0,0,100,0,0,97,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,97,0,97,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,97
20505a5337ee1e7e43ca49938c396eec6001a0aa947a12bbbe9850936e8f89a7,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20c5b027df5be17ac6c3eb5407bb78cd005270e262d074ba151198eabe6c116f,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2377f987601c180ad09deb9dc53dbf0a04e4d89620649cb0f857952d46dc40a1,0,0,0,0,0,97,0,0,100,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,97,0,97,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,97
27d5cab74736fcfe43177aaedfe99ac1812132724271d4883bb37ead66d9d3d2,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288862dfddc13c06bc816c3e5b4d50c232d56c2706939fb8a4030ee14c8eaaab,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2b37c19076419cfc46d4f6cde8ce9d66412615b2a597728e1f901ae8efa69cef,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
2e43b757bfae0b705183ce9ddf2d634b5bbaade92f52d2760d56c6ca7d5fb511,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32a6e07deb1cb172b4f2282c4623038d51446fd9c7b5e321687d7563a786fd6e,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374c58fd43892c47a0f97f82a96288027adca973e310c387afe217b120777415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3869327e39952c8dbd36d85631b5754b1211b5f6c04105dde026f2cd457354b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419112a10dd3ec5f1cca851d34182278836eb4b6f1acaefe2c0c0ba905f9953c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45d0c3ce00254591a540c91a171d58e45b810d8e15929a8aab2a9883528745fe,0,0,0,0,0,97,0,0,97,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,99,0,97,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,97
4bd6ae5b235eccb3e4c027b2d963769e9cbd7620e0e2842aaa2a677b0e55cfb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4c81e110f8fb4a66cdad417a95df9b47ea162a3b201e56e01f220ec9d48b9e86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,99,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540950459f32349960d0e77fe7d6216cc04c60836dfd407d410312210cb6b54a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5695eecc2f863637c1fb7b837467dc62bcf675e99572481520be6f452277aec5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,100,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b1379759e79bf51e28f85d906ddb8f0675c61f30c9aadff62d6e439749e9b14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61b0d72648bbbc0796ba7c65779a0091e6e64d6f75ca132be980e7c26d0253f5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,0,0,0,0,0
632f127b472c40147fc8bbe3cd472bdb96ee5369f3b97a91480af187bbc67688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696ca3d36c0aadc37c2cd9f3c25726e2efb0cbd0979d88525389b03115b8c158,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,99,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
6e63d5b80e257da949da862af9b26856dca484261bda8204d5516ce33dad4bf5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703a28d1cebb63322ef8eb5149eb048b4ecb8ad8c34c77c64fcd6d5e94b63ff9,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,100,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
725c34a3f3c4d64c76058fcc6f5f479f01f54fa38951b584a92546c4e42a7ca9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76f9075888abb15accc20f15fe0e2bef292f362fa79f82355a5eb9b53e76f26e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0
7ca57a07211f795ebf70fdd8cafd7b468f4e9dd5c6a28707887ca921ebbc04c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7cceefe7a5098a7c69527fd46ff3e0fe00ae922a73a8efb5716945f9080768d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7e3c96784838876db808987c5777a57ce67948b0629792c6c8ce9442cd2af650,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7f0fb3e6faacd89fae2a13bf11a019edae5ef581472e8458204f6213af272dee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81243551bfa8bdbe868963a5a9c5c289cfc212d9c4c2ff108554587f8a5a064e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845d72b591aad18683c52d231fe22f30cd035178d153fa6e3ea65f87fbcd5db0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87aba08b3ebd3f66066aa93e4f9d8374958a5e3f048fa663a8f1c45f5fee8d05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8965b5b855e9ba2e503ce235f98dbda2d99ed56c883e49afe2def2c171066b21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904247ac01194ad38501e7bf4c99a691e9f096ba8d1451517b93c956f006d9f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
955e32bb0f3cfb7812de7cdc7334384efeb23997afa04a46e40f215d69ec601c,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
96c9cecc94c182eba5c9824eb7a603b43b425c6dd99fe8d5195445339f10a0ae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981f4be9505f140d2353dfd5dead9d5ab898e967cda4ca576e2fa29ef5274523,0,0,0,0,0,97,0,0,97,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,99,0,97,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,97
994b230bc732fbe68c4bf4778e62abd18cf4d6feb6eb345be4765408282033e8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99e8cb24e92b871bda5b452bdec539a6196989db2eff5764df8452a9dcbd03bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a261d7a919495ac349c125dadf89cc557352a7d2feedf3898fa5e320c4c75efa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a510750cd5d533842b656edc6df3b810be3c185534e7ab6b7ce5738a082de334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a608815ace8f4116f930af1c368c7eeff4201263e2402e841c210262083f324c,0,0,0,0,0,97,0,0,97,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,100,0,97,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,97
a93854e69170b7322192e1ca994f57946260bfa4152d690bbc346fe332b4c186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae775e20b9d5fecf9367fed89ab1136c91ad22a457d4d37891edf77b15a7f71f,0,0,0,0,0,97,0,0,97,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,97,0,100,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,97
b00ce6a6107f0ace12878c3636fd42494bc387ba494f87c094c3597eb1dd4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b9fbc8deb897ea739ae10986e0c16714d5468e7b960ca4a1c93fadd39fb54486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba99ac9b25cf0b78872b502cc1ae43df86cce96ff2a22c378ff17d7c03497b99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
c10eeb0df592f972d478bd4f5de86a092df17060837e516503fa964d837287c0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
ca39c1090b7f62909eb6cf091107895bc2d5dffbf7f5d275053443a072565f9c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
cd013a0235aef2832f972664a47cb6f5b4d364c33d807a3135e20c71202147f0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,99,0,0,0,0,0,0,0,0
cffd481d6216ac766187015a0bbb4a9014e2ef6cbd5432599ebdb1542eb563e6,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
d63afd49bf502fc5aa2f294f3e52669f200253b627310036ce35110f5b78b6ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,100,0,0,0,0,0,0,0,0
e7b939f82e06570a4ad25f9059be2e7ca54aef4405255e34e9d3e86a04aae46e,0,0,0,0,0,97,0,0,97,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,97,0,97,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,97
e92b6ab1fbb5ae6d79f87bcfa6ae6cbe4fdeef2f2dd985dd618a107cbcc2a4a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
ed44f86570a4039adccae1b56c314c028de9c5e38b0ae7b7e9217c8789491419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
f3a48d153a7d29f86997e583dd58446486c2809a9a342ac10e7c51bed2f5dea5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
f423e5b793e76610a13dbd1df990bd58407b97c156e0ab941dcefd115a005c66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
f8e76dd00167619369c3854689e3f1e3805b9b1d8ef373298646c9efbd8eff60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
f902bcef64c6162c6981462f9d4513db27bdcf46ef15709eeb8fcf7712a8ae13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
ff8be45f49e3e6b9aa8099f4fd96c2b9555af73a6fa197951aacc66acaac9aac,0,0,0,0,0,97,0,0,97,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,97,0,97,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,100
